Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
3884.0,JAPAN,JAPAN:  FUKUI,7.3,5131.0,4.0,5131.0,4.0
5399.0,JAPAN,"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",6.9,6434.0,4.0,6434.0,4.0
9799.0,JAPAN,JAPAN:  HONSHU,9.1,1475.0,4.0,18428.0,4.0
2569.0,MEXICO,MEXICO,7.3,69.2,2.0,62.5,2.0
4139.0,MEXICO,"MEXICO:  ACAPULCO,MEXICO CITY",7.9,65.0,2.0,65.0,2.0
4326.0,MEXICO,MEXICO:  GUERRERO,7.3,78.0,2.0,78.0,2.0
4622.0,MEXICO,"MEXICO:  S, FARIAS, TECOMAN",7.5,56.0,2.0,56.0,2.0
5078.0,MEXICO,MEXICO:  SW COAST:  MEXICO CITY,7.6,69.2,2.0,62.5,2.0
10266.0,MEXICO,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",8.2,98.0,2.0,98.0,2.0
10647.0,MEXICO,"MEXICO: MEXICO CITY, MICHOACAN",6.8,3.0,1.0,3.0,2.0
5423.0,MEXICO,"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",8.0,49.0,2.0,50.0,1.0
2608.0,MEXICO,MEXICO:  GUERRERO,7.0,2.0,1.0,2.0,1.0
2804.0,MEXICO,MEXICO:  GUERRERO,8.3,8.0,1.0,8.0,1.0
3371.0,MEXICO,MEXICO:  OAXACA,7.7,4.0,1.0,4.0,1.0
3595.0,MEXICO,"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ",7.2,34.0,1.0,34.0,1.0
3603.0,MEXICO,MEXICO:  GUERRERO:  OMETEPEC,7.4,4.0,1.0,4.0,1.0
3737.0,MEXICO,MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,7.4,5.0,1.0,5.0,1.0
3894.0,MEXICO,MEXICO:  MARIA MADRE ISLAND,6.6,4.0,1.0,4.0,1.0
3973.0,MEXICO,MEXICO:  OAXACA:  MIAHIATLAN,6.0,1.0,1.0,1.0,1.0
4039.0,MEXICO,MEXICO:  CHIAPAS,6.1,6.0,1.0,6.0,1.0
4201.0,MEXICO,MEXICO:  GULF OF CAMPECHE,6.9,25.0,1.0,25.0,1.0
4265.0,MEXICO,MEXICO:  S,7.0,4.0,1.0,4.0,1.0
