Id,Country,Location Name,Mag,Deaths,Houses Destroyed,Houses Damaged
4711.0,GUATEMALA,"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY",7.5,23000.0,255000.0,7561.0
5525.0,GUATEMALA,GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W,6.7,2.0,7.0,7.0
10253.0,GUATEMALA,"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",6.9,5.0,4.0,500.0
10602.0,GUATEMALA,"GUATEMALA: BAJA VERAPAZ, GUATEMALA, QUEZALTENANGO",6.2,3.0,2.0,31.0
9942.0,GUATEMALA,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",7.3,48.0,2769.0,7561.0
2613.0,AZERBAIJAN,AZERBAIJAN:  SEMACHA; N IRAN,6.9,86.0,3496.0,3496.0
5597.0,EL SALVADOR,EL SALVADOR:  CONCHAGUA,5.7,1.0,84.0,70.0
10193.0,EL SALVADOR,EL SALVADOR:  GULF OF FONSECA,7.3,1.0,5.0,41.0
5587.0,EL SALVADOR,EL SALVADOR; GUATEMALA,7.7,844.0,108226.0,169632.0
5592.0,EL SALVADOR,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,6.6,315.0,41302.0,15706.0
4340.0,IRAN,IRAN:  NW,5.3,20.0,9832.0,721.0
5390.0,IRAN,"IRAN:  FIRUZABAD, SHIRAZ",5.9,3.0,400.1111111111111,721.0
5554.0,IRAN,"IRAN:  BARDASKAN, KASHMAR",5.3,1.0,100.0,100.0
5633.0,IRAN,IRAN:  WESTERN:  KERMANSHAH,5.4,2.0,9832.0,6724.909090909091
5783.0,IRAN,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",6.3,35.0,3880.0,721.0
7246.0,IRAN,IRAN:  SOUTHERN:  QESHM,5.1,2.0,222.14285714285714,93.33333333333333
8133.0,IRAN,IRAN:  HORMOZGAN PROVINCE,6.1,7.0,400.1111111111111,721.0
9760.0,IRAN,IRAN:  KERMAN,6.5,7.0,400.1111111111111,1800.0
9974.0,IRAN,"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA",6.3,37.0,400.1111111111111,700.0
10056.0,IRAN,IRAN:  BORAZJAN,5.8,8.0,250.0,18.666666666666668
10249.0,IRAN,IRAN: KHORASAN,5.6,3.0,3.0,6724.909090909091
10456.0,IRAN,IRAN: MIYANEH,,5.0,3.0,18.666666666666668
10480.0,IRAN,TURKEY: VAN;  IRAN,6.0,10.0,255.0,600.0
10661.0,IRAN,IRAN:  KHVOY (KHOY),5.9,3.0,370.0,6724.909090909091
4543.0,IRAN,"IRAN:  KARNAVEH, MAREV",6.7,220.0,2000.0,6724.909090909091
5639.0,IRAN,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,6.5,261.0,9832.0,6724.909090909091
5848.0,IRAN,IRAN:  KERMAN PROVINCE:  ZARAND,6.4,612.0,8000.0,8000.0
9928.0,IRAN,"IRAN:  AHAR, HARIS, VARZAGAN",6.5,306.0,9832.0,6724.909090909091
10275.0,IRAN,IRAN: KERMANSHAH; IRAQ: KURDISTAN,7.3,630.0,15500.0,14500.0
5461.0,IRAN,"IRAN: BIRJAND, GHAEN;  AFGHANISTAN",7.2,1728.0,10533.0,5474.0
5751.0,IRAN,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",6.6,31000.0,9832.0,6724.909090909091
5447.0,IRAN,"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",6.5,88.0,5500.0,11000.0
7234.0,IRAN,"IRAN:  WESTERN:  BORUJERD, DORUD",6.1,70.0,400.1111111111111,721.0
10467.0,USA TERRITORY,"PUERTO RICO:  PONCE,SAN JUAN",6.4,4.0,300.0,1390.0
2640.0,UZBEKISTAN,UZBEKISTAN:   ANDIZHAN,6.4,4880.0,41704.0,41704.0
4556.0,ITALY,ITALY:  TUSCANIA,4.6,24.0,40.0,1678.0
10202.0,ITALY,ITALY: NORCIA,6.6,2.0,27.5,1339.5
3021.0,GREECE,GREECE:  LEUKAS ISLAND,6.3,14.0,441.2,100.0
3873.0,GREECE,GREECE:  VASILIKI (LEUKAS),6.5,7.0,244.0,2022.0
3907.0,GREECE,"GREECE:  CHIOS, OENOUSSAE; TURKEY: KARABURUN",6.5,7.0,534.0,5501.0
4071.0,GREECE,GREECE:  DRAKIA-AGRIA (MAGNESIA),6.2,8.0,459.0,8352.0
6415.0,GREECE,NORTH CORINTH GULF,6.1,1.0,70.0,1000.0
4377.0,GREECE,GREECE:  SOUTHERN,5.5,1.0,180.0,1500.0
4428.0,GREECE,GREECE:  AEGEAN SEA:  ST EUSTRATIOS,7.2,20.0,500.0,1951.0
10096.0,GREECE,"GREECE, TURKEY",6.9,3.0,13.2,100.0
10164.0,GREECE,"GREECE:  LEFKADA, KEFALONIA, ITHACA",6.5,2.0,1.0,100.0
10252.0,GREECE,GREECE: LESBOS,6.3,1.0,10.0,250.0
3502.0,GREECE,GREECE: HIERISSOS-STRANTONION (CHALKIDIKI),6.9,161.0,4106.0,3218.0
3518.0,GREECE,GREECE:  DODECANESE ISLANDS,6.4,181.0,85.0,100.0
4029.0,GREECE,GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA),7.2,476.0,30439.0,2394.0
10302.0,TAIWAN,TAIWAN:  HUALIEN,6.4,17.0,4.0,19.0
10737.0,TAIWAN,TAIWAN:  HUA-LIEN,7.4,18.0,111.0,297.0
10174.0,TAIWAN,TAIWAN:  TAINAN,6.4,117.0,13.0,19.0
5535.0,TAIWAN,"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",7.6,2297.0,8200.0,82000.0
5475.0,CHILE,"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",7.1,8.0,5000.0,15700.0
10156.0,CHILE,CHILE:  CENTRAL,8.3,7.0,2305.0,10044.0
5307.0,INDIA,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",7.0,2000.0,7500.0,7500.0
5364.0,INDIA,"INDIA:  LATUR-OSMANABAD, KILLARI",6.2,11000.0,68396.28571428571,64984.75
5589.0,INDIA,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",7.6,20005.0,339000.0,339000.0
5478.0,INDIA,"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",6.1,23.0,1.0,1.0
5650.0,INDIA,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",6.5,2.0,40.0,1.0
7252.0,INDIA,"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG",5.3,1.0,1.0,1.0
9991.0,INDIA,"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",5.7,3.0,1136.0,95532.0
10226.0,INDIA,INDIA:  AMBASA;  BANGLADESH,5.7,3.0,1492.0,5200.0
9842.0,INDIA,INDIA: SIKKIM;  NEPAL;  CHINA;  BHUTAN,6.9,127.0,68396.28571428571,40000.0
5465.0,INDIA,INDIA:  SOUTHERN:  JABALPUR,5.8,56.0,8546.0,8546.0
5519.0,INDIA,"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",6.6,100.0,21100.0,21100.0
10461.0,ALBANIA,"ALBANIA:  DURRES, THUMANE, TIRANA",6.4,51.0,11000.0,83000.0
5096.0,GEORGIA,"GEORGIA:  AKHALKALAKI, SUSUZ",5.7,2.0,1500.0,1500.0
7537.0,PERU,"PERU:  ICA, PISCO, LIMA",8.0,514.0,52154.0,23632.0
2987.0,PERU,"PERU:  CARAVELI, CHUQUIBAMBA, OCONA, ATICO",7.9,74.28571428571429,292.6666666666667,657.8
4084.0,PERU,"PERU:  MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI",,1.0,69.0,155.66666666666666
4157.0,PERU,PERU: AREQUIPA,7.0,28.0,69.0,657.8
10118.0,PERU,PERU:  PARURO PROVINCE,4.9,8.0,106.0,657.8
10191.0,PERU,PERU:  AREQUIPA,5.5,9.0,605.0,671.0
10232.0,PERU,"PERU:  PUNO, LAMPA",6.2,1.0,8.0,40.0
10298.0,PERU,PERU: YAUCA,7.1,2.0,259.0,1577.0
10396.0,PERU,PERU:  AREQUIPA,7.0,1.0,1.0,17.0
10412.0,PERU,"PERU:  LA LIBERTAD, CAJAMARCA; ECUADOR",8.0,2.0,292.6666666666667,657.8
10553.0,PERU,PERU: CANETE: MALA,5.8,1.0,6.0,20.2
10617.0,PERU,"PERU: LIMA, CALLAO, CHILCA",5.4,2.0,4.0,4.0
4531.0,PERU,"PERU: NORTHERN, PISCO, CHICLAYO",7.9,66794.0,292.6666666666667,657.8
7868.0,TAJIKISTAN,"TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR",7.2,318.0,404.4,505.42857142857144
5082.0,TAJIKISTAN,"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV",5.9,29.0,404.4,505.42857142857144
5629.0,TAJIKISTAN,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,5.9,50.0,160.0,160.0
7363.0,TAJIKISTAN,TAJIKISTAN:  PANJ-QUMSANGIR,5.6,3.0,721.0,721.0
10168.0,TAJIKISTAN,TAJIKISTAN,7.2,2.0,500.0,793.0
5516.0,AFGHANISTAN,"AFGHANISTAN:  LOWGAR, VARDAK, KABUL",6.0,70.0,7000.0,7000.0
9922.0,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,5.8,75.0,143.0,593.0
