"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2024""]"																																																
	10244	2017	4	24	21	38	30.8	5647		"CHILE"		160	"CHILE:  VALPARAISO"	-33.038	-72.062	28	6.9	6.9		6.3				7																								
	10245	2017	4	28	20	23	17.3	5648		"PHILIPPINES"		170	"PHILIPPINES: SARANGANI"	5.504	125.066	26	6.9	6.9						9					5	1		1	1	1		1					7	1		1	1	1		1
	10247	2017	5	1	12	31	3	5649		"CANADA"		150	"ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA"	59.821	-136.711	10	6.2	6.2						5																								
	10437	2017	5	3	4	47	13.4			"TAJIKISTAN"		40	"KYRGYZSTAN:  OSH, BATKEN"	39.494	71.444	11	6	6						5								3	537	3										3	537	3		
	10248	2017	5	10	21	58	21.7			"CHINA"		40	"CHINA: XINJIANG: QUZGUN, TAXKORGAN TAJIK"	37.643	75.31	8	5.4	5.4						3	8	1			23	1	123	4	3015	4			8	1			23	1	123	4	3015	4		
	10438	2017	5	11	3	24	21.4			"AZERBAIJAN"		40	"IRAN:  ARDABIL"	39.816	48.57	63	5.1			5.1				5					20	1		2			85	2					20	1		2			85	2
	10249	2017	5	13	18	0	59.5			"IRAN"		140	"IRAN: KHORASAN"	37.769	57.206	8	5.6	5.6		5.5				7	3	1			417	3	2	2		1		4	3	1			417	3	2	2		1		4
	10255	2017	5	25	9	55	35.5			"TANZANIA"		10	"TANZANIA: MWANZA"	-3.043	32.888	10	4.4			4.4				3	1	1			18	1							1	1			18	1						
	10251	2017	5	28	11	4	59.4			"TURKEY"		140	"TURKEY: MANISA: SARUHANLI, GOLMARMARA"	38.764	27.778	3	4.9	4.9		5				5								2			35	1								2			35	1
	10250	2017	5	29	14	35	21.5			"INDONESIA"		170	"INDONESIA:  SULAWESI:  POSO"	-1.292	120.431	12	6.6	6.6	6.4	6.2				6					25	1		2	5	1	348	3					25	1		2	5	1	348	3
