Search Parameters,Id,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Area,Region,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Mw,Ms,Mb,Ml,Mfa,Unk,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""1900 <= Year >= 2024""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10250.0,2017.0,5.0,29.0,14.0,35.0,21.5,,,INDONESIA,,170.0,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12.0,6.6,6.6,6.4,6.2,,,,6.0,,,,,25.0,1.0,,2.0,5.0,1.0,348.0,3.0,,,,,25.0,1.0,,2.0,5.0,1.0,348.0,3.0
,10252.0,2017.0,6.0,12.0,12.0,28.0,39.2,5652.0,,GREECE,,130.0,GREECE: LESBOS,38.93,26.365,12.0,6.3,6.3,,,,,,9.0,1.0,1.0,,,15.0,1.0,,2.0,10.0,1.0,250.0,3.0,1.0,1.0,,,15.0,1.0,,2.0,10.0,1.0,250.0,3.0
,10253.0,2017.0,6.0,14.0,7.0,29.0,4.4,,,GUATEMALA,,100.0,"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",14.909,-92.009,93.0,6.9,6.9,,6.5,,,,8.0,5.0,1.0,,,30.0,1.0,,3.0,,1.0,,3.0,5.0,1.0,,,30.0,1.0,,3.0,,1.0,,3.0
,10317.0,2017.0,6.0,21.0,4.0,40.0,,,,NEPAL,,60.0,NEPAL:  DHADING,27.64,85.17,,3.2,,,,,,3.2,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,
,10256.0,2017.0,6.0,22.0,12.0,31.0,3.5,,,GUATEMALA,,100.0,"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA",13.717,-90.972,38.0,6.8,6.8,,,,,,6.0,,,,,4.0,1.0,,2.0,,,53.0,2.0,,,,,4.0,1.0,,2.0,,,53.0,2.0
,10257.0,2017.0,6.0,24.0,2.0,37.0,18.5,,,MOZAMBIQUE,,10.0,MOZAMBIQUE,-19.45,34.488,27.0,5.6,5.6,,,,,,4.0,,,,,4.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,4.0,1.0,,1.0,2.0,1.0,2.0,1.0
,10258.0,2017.0,7.0,6.0,8.0,3.0,57.6,,,PHILIPPINES,,170.0,PHILIPPINES: LEYTE,11.127,124.629,9.0,6.5,6.5,,,,,,9.0,4.0,1.0,,,448.0,3.0,5.0,3.0,735.0,3.0,1029.0,4.0,4.0,1.0,,,448.0,3.0,5.0,3.0,735.0,3.0,1029.0,4.0
,10259.0,2017.0,7.0,17.0,23.0,35.0,34.0,5654.0,,RUSSIA,,50.0,RUSSIA: BERING ISLAND,54.443,168.857,10.0,7.7,7.7,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
,10284.0,2017.0,7.0,18.0,2.0,5.0,19.8,,,PERU,,160.0,PERU:  AREQUIPA,-16.416,-73.636,44.0,6.4,6.4,,,,,,7.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,
,10260.0,2017.0,7.0,20.0,22.0,31.0,11.3,5655.0,,TURKEY,,140.0,"TURKEY: BODRUM, DATCA; GREECE: KOS",36.929,27.414,7.0,6.6,6.6,,,,,,7.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0
,10318.0,2017.0,8.0,2.0,7.0,15.0,13.7,,,CHILE,,160.0,CHILE:  SANTIAGO,-33.212,-70.626,92.0,5.4,5.4,,,,,,6.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
,10261.0,2017.0,8.0,8.0,13.0,19.0,49.5,,,CHINA,,30.0,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,9.0,6.5,6.5,,,,,,5.0,29.0,1.0,,,525.0,3.0,500.0,4.0,100.0,2.0,72500.0,4.0,29.0,1.0,,,525.0,3.0,500.0,4.0,100.0,2.0,72500.0,4.0
,10262.0,2017.0,8.0,8.0,23.0,27.0,53.1,,,CHINA,,40.0,CHINA:  XINGJIANG: BORTALA,44.302,82.832,20.0,6.3,6.3,,,,,,6.0,,,,,32.0,1.0,,2.0,142.0,3.0,1060.0,4.0,,,,,32.0,1.0,,2.0,142.0,3.0,1060.0,4.0
,10283.0,2017.0,8.0,11.0,21.0,45.0,9.4,,,PERU,,160.0,PERU: AREQUIPA,-16.299,-73.474,41.0,5.6,5.6,,,,,,5.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,
,10445.0,2017.0,8.0,13.0,16.0,51.0,24.1,,,PERU,,160.0,PERU:  JUNIN,-10.721,-74.566,32.0,5.8,5.8,,,,,,8.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,2.0,1.0,,1.0,,,,
,10263.0,2017.0,8.0,21.0,18.0,57.0,51.1,,,ITALY,,130.0,ITALY:  ISCHIA ISLAND,40.783,13.939,3.0,4.2,,,4.2,,,,5.0,2.0,1.0,,,42.0,1.0,,2.0,,2.0,,2.0,2.0,1.0,,,42.0,1.0,,2.0,,2.0,,2.0
,10264.0,2017.0,8.0,22.0,22.0,26.0,14.6,,,PHILIPPINES,,170.0,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,17.0,5.0,,,5.0,,,,5.0,2.0,1.0,,,,1.0,,2.0,,,56.0,2.0,2.0,1.0,,,,1.0,,2.0,,,56.0,2.0
,10266.0,2017.0,9.0,8.0,4.0,49.0,19.2,5658.0,,MEXICO,,150.0,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",15.022,-93.899,47.0,8.2,8.2,,,,,,9.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0
